row,col,x,y,z
1,1,30.005,60.995,109.595
1,2,30.015,60.995,110.208
1,3,30.025,60.995,110.54
1,4,30.035,60.995,110.524
1,5,30.045,60.995,110.164
1,6,30.055,60.995,109.533
1,7,30.065,60.995,108.758
1,8,30.075,60.995,107.997
1,9,30.085,60.995,107.406
1,10,30.095,60.995,107.103
1,11,30.105,60.995,107.151
1,12,30.115,60.995,107.539
1,13,30.125,60.995,108.19
1,14,30.135,60.995,108.97
1,15,30.145,60.995,109.722
1,16,30.155,60.995,110.292
1,17,30.165,60.995,110.566
1,18,30.175,60.995,110.487
1,19,30.185,60.995,110.072
1,20,30.195,60.995,109.404
1,21,30.205,60.995,108.62
1,22,30.215,60.995,107.879
1,23,30.225,60.995,107.331
1,24,30.235,60.995,107.088
1,25,30.245,60.995,107.199
1,26,30.255,60.995,107.641
1,27,30.265,60.995,108.325
1,28,30.275,60.995,109.112
1,29,30.285,60.995,109.842
1,30,30.295,60.995,110.367
1,31,30.305,60.995,110.581
1,32,30.315,60.995,110.439
1,33,30.325,60.995,109.971
1,34,30.335,60.995,109.272
1,35,30.345,60.995,108.484
1,36,30.355,60.995,107.766
1,37,30.365,60.995,107.266
1,38,30.375,60.995,107.084
1,39,30.385,60.995,107.257
1,40,30.395,60.995,107.751
1,41,30.405,60.995,108.464
1,42,30.415,60.995,109.253
1,43,30.425,60.995,109.957
1,44,30.435,60.995,110.433
1,45,30.445,60.995,110.584
1,46,30.455,60.995,110.38
1,47,30.465,60.995,109.863
1,48,30.475,60.995,109.137
1,49,30.485,60.995,108.349
1,50,30.495,60.995,107.661
1,51,30.505,60.995,107.211
1,52,30.515,60.995,107.091
1,53,30.525,60.995,107.326
1,54,30.535,60.995,107.867
1,55,30.545,60.995,108.605
1,56,30.555,60.995,109.391
1,57,30.565,60.995,110.063
1,58,30.575,60.995,110.487
1,59,30.585,60.995,110.576
1,60,30.595,60.995,110.312
1,61,30.605,60.995,109.748
1,62,30.615,60.995,109.0
1,63,30.625,60.995,108.218
1,64,30.635,60.995,107.563
1,65,30.645,60.995,107.167
1,66,30.655,60.995,107.11
1,67,30.665,60.995,107.404
1,68,30.675,60.995,107.99
1,69,30.685,60.995,108.748
1,70,30.695,60.995,109.525
1,71,30.705,60.995,110.162
1,72,30.715,60.995,110.531
1,73,30.725,60.995,110.557
1,74,30.735,60.995,110.234
1,75,30.745,60.995,109.628
1,76,30.755,60.995,108.862
1,77,30.765,60.995,108.091
1,78,30.775,60.995,107.473
1,79,30.785,60.995,107.133
1,80,30.795,60.995,107.14
1,81,30.805,60.995,107.492
1,82,30.815,60.995,108.118
1,83,30.825,60.995,108.891
1,84,30.835,60.995,109.654
1,85,30.845,60.995,110.253
1,86,30.855,60.995,110.564
1,87,30.865,60.995,110.527
1,88,30.875,60.995,110.147
1,89,30.885,60.995,109.502
1,90,30.895,60.995,108.724
1,91,30.905,60.995,107.969
1,92,30.915,60.995,107.393
1,93,30.925,60.995,107.111
